118000;http://www.118000.fr/;01 56 60 36 36;[]
123 MULTIMEDIA;http://www.123multimedia.com/;09 78 23 24 25;[]
ACTIONS RESEAUX SERVICES;http://www.actionsreseauxservices.fr/;01 30 55 12 54;[]
AEGE RESEAUX ET TELECOMS;http://www.societe.com/societe/aege-reseaux-et-telecom-501241624.html;None;[]
ALLIANCE MCA;http://www.alliancemca.net/;01 44 88 83 60;['contact@odyssey-messaging.com', 'contact@odyssey-messaging.com']
ARKADIN;http://www.arkadin.fr/;01 44 65 25 00;[]
AXIONE;http://www.axione.fr/;01 72 33 93 00;[]
AXIONE;http://www.axione.fr/;01 72 33 93 00;[]
AXIONE;http://www.axione.fr/;01 72 33 93 00;[]
BD MULTIMEDIA;http://www.bdmultimedia.fr/;01 53 36 24 24;[]
BT FRANCE;http://www.globalservices.bt.com/fr/fr/home;None;['T@0.h', 'elsa.jaouen@bt.com', 'elsa.jaouen@bt.com']
BUSINESS WIRE FRANCE;http://www.businesswire.fr/;01 56 88 29 40;['websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com', 'websupport@businesswire.com']
CAP COM TECHNOLOGIE;http://www.societe.com/societe/cap-com-technologie-480495423.html;01 40 47 96 91;[]
CHRONO TELECOM;http://www.societe.com/societe/chrono-telecom-808857437.html;None;[]
CIENA LIMITED;http://www.ciena.fr/;None;[]
CIRCET;http://www.circet.fr/;09 64 16 98 55;[]
CIRCET;http://www.circet.fr/;09 64 16 98 55;[]
CIRCET;http://www.circet.fr/;09 64 16 98 55;[]
COLT TECHNOLOGY SERVICES;http://www.colt.net/fr/;01 41 48 59 50;['TechnicalSupport.FR@colt.net', 'TechnicalSupport.FR@colt.net', 'TechnicalSupport.FR@colt.net', 'Business.Support@colt.net', 'Business.Support@colt.net', 'ceanosd@colt.net', 'ceanosd@colt.net', 'resellersupport@colt.net', 'resellersupport@colt.net', 'robert.ba@colt.net', 'robert.ba@colt.net', 'morten.singleton@colt.net', 'morten.singleton@colt.net', 'caroline.griffinpain@colt.net', 'caroline.griffinpain@colt.net', 'paula.muezerie@colt.net', 'paula.muezerie@colt.net']
